DRVR_LIC_STATE_ID,Crash_count,Crash_count_rank
Texas,42138,1
NA,2702,2
Unknown,300,3
Mexico,240,4
Louisiana,227,5
New Mexico,225,6
California,170,7
Oklahoma,157,8
Florida,153,9
Arkansas,114,10
Other,80,11
Georgia,78,12
Arizona,77,13
Colorado,70,14
Missouri,57,15
Illinois,55,16
Mississippi,48,17
Kansas,47,18
Alabama,47,18
Ohio,46,19
North Carolina,45,20
Michigan,43,21
Washington,42,22
Tennessee,42,22
Virginia,41,23
New York,32,24
Minnesota,27,25
Nevada,27,25
Pennsylvania,26,26
South Carolina,24,27
Maryland,23,28
Wisconsin,22,29
Utah,19,30
New Jersey,18,31
Kentucky,17,32
Indiana,17,32
Iowa,14,33
Oregon,13,34
Connecticut,13,34
Massachusetts,13,34
Idaho,10,35
Hawaii,9,36
Nebraska,9,36
Alaska,8,37
West Virginia,8,37
North Dakota,7,38
Montana,7,38
Wyoming,6,39
Canada,5,40
South Dakota,5,40
Puerto Rico,4,41
Vermont,3,42
Rhode Island,3,42
New Hampshire,3,42
Maine,3,42
Delaware,2,43
American Samoa (Islands),2,43
District of Columbia,1,44
